City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Tiarei,PF,-17.5333,-149.3333,84.22,73,4,5.7
94,Gizo,SB,-8.103,156.8419,84.85,67,6,2.37
95,Muncar,ID,-8.4333,114.3333,82.35,79,97,4.18
96,Katherine,AU,-14.4667,132.2667,88.12,42,5,9.22
97,Te Anau,NZ,-45.4167,167.7167,42.8,84,87,4.03
98,Rocha,UY,-34.4833,-54.3333,44.65,91,0,4.14
99,Saskylakh,RU,71.9167,114.0833,32.7,99,100,3.42
100,Opuwo,NA,-18.0607,13.84,53.28,83,0,6.55
101,Kavieng,PG,-2.5744,150.7967,83.52,72,8,8.84
102,Aykhal,RU,66.0,111.5,34.23,98,100,6.8
103,Casino,AU,-28.8667,153.05,63.57,84,100,5.32
104,Fereydun Kenar,IR,36.6864,52.5225,66.42,82,0,4.61
105,Fukue,JP,32.6881,128.8419,71.96,78,75,9.22
106,Lufilufi,WS,-13.8745,-171.5986,91.18,73,8,12.46
107,Gamba,GA,-2.65,10.0,75.07,90,100,3.42
108,Cabo San Lucas,MX,22.8909,-109.9124,83.61,70,2,15.01
109,Sechura,PE,-5.5569,-80.8222,67.77,77,30,13.87
110,Ilulissat,GL,69.2167,-51.1,32.02,86,0,0.0
111,Yellowknife,CA,62.456,-114.3525,54.12,24,0,9.22
112,At-Bashi,KG,41.1702,75.8106,56.41,52,100,2.77
113,Neuquen,AR,-38.9516,-68.0591,42.69,100,0,0.0
114,Clifton,US,40.8584,-74.1638,65.79,84,75,6.91
115,El Cocuy,CO,6.4078,-72.4446,50.85,92,100,4.97
116,Necochea,AR,-38.5473,-58.7368,45.68,64,49,10.92
117,Arraial Do Cabo,BR,-22.9661,-42.0278,68.81,71,97,30.04
118,Mar Del Plata,AR,-38.0023,-57.5575,48.94,79,0,10.36
119,Alta Floresta,BR,-9.8756,-56.0861,61.02,60,74,2.01
120,Torbay,CA,47.6666,-52.7314,44.28,84,0,8.99
121,Paamiut,GL,61.994,-49.6678,33.8,86,78,3.53
122,Haines Junction,CA,60.7522,-137.5108,55.35,41,46,2.3
123,Denia,ES,38.8408,0.1057,70.47,86,29,11.01
124,Rosetown,CA,51.5501,-108.0014,40.66,93,100,16.11
125,Dikson,RU,73.5069,80.5464,30.34,79,100,9.35
126,Moose Jaw,CA,50.4001,-105.5344,39.45,87,100,25.32
127,Nakhon Phanom,TH,17.3333,104.4167,80.4,93,100,6.08
128,Sambava,MG,-14.2667,50.1667,70.63,80,62,9.62
129,Isangel,VU,-19.55,169.2667,78.76,83,100,15.93
130,Codrington,AU,-38.2667,141.9667,58.21,59,36,10.63
131,Ranot,TH,7.7777,100.3213,83.1,78,88,7.23
132,Bethel,US,41.3712,-73.414,57.63,90,0,0.0
133,Saint-Augustin,CA,51.226,-58.6502,40.37,77,8,6.71
134,Noyabrsk,RU,63.1994,75.4507,51.93,73,41,15.03
135,Iqaluit,CA,63.7506,-68.5145,28.13,100,100,3.44
136,Wejherowo,PL,54.6057,18.2356,67.82,47,100,10.65
137,Flin Flon,CA,54.7682,-101.865,40.84,48,100,11.72
138,Pitimbu,BR,-7.4706,-34.8086,77.59,84,98,8.59
139,Esmeralda,CU,21.8525,-78.1169,77.31,88,100,6.04
140,Matina,CR,10.0761,-83.2895,74.93,91,100,3.42
141,Gao,ML,16.6362,1.637,86.59,10,0,10.47
142,Hobyo,SO,5.3505,48.5268,79.0,83,76,21.99
143,Cassilandia,BR,-19.1133,-51.7342,49.15,71,3,2.33
144,Kingston,JM,17.997,-76.7936,81.55,79,20,19.57
145,Komsomolskiy,UZ,40.4272,71.7189,68.72,60,99,0.0
146,Tura,IN,25.5198,90.2201,74.97,88,13,4.21
147,Chuy,UY,-33.6971,-53.4616,48.67,83,2,4.7
148,North Bend,US,43.4065,-124.2243,55.24,78,20,18.41
149,Narsaq,GL,60.9167,-46.05,43.02,68,64,1.83
150,Bosaso,SO,11.2842,49.1816,85.44,48,99,5.93
151,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,100,4.61
152,Gaspe,CA,48.8334,-64.4819,44.51,93,0,0.0
153,Yantal,RU,56.8471,105.2542,69.51,31,51,1.39
154,Vila Velha,BR,-20.3297,-40.2925,62.55,72,0,3.44
155,Khakhea,BW,-24.6895,23.494,57.83,51,7,12.03
156,Vao,NC,-22.6667,167.4833,75.04,85,83,21.34
157,Krasnyy Chikoy,RU,50.3643,108.7512,75.97,27,81,1.86
158,Bandarbeyla,SO,9.4942,50.8122,81.95,70,30,15.82
159,Naze,JP,28.3667,129.4833,65.32,91,100,18.79
160,Saravan,AM,39.7196,45.6483,47.32,85,24,4.65
161,Flinders,AU,-34.5833,150.8552,63.37,70,99,4.0
162,Praia,CV,14.9215,-23.5087,72.14,78,0,13.8
163,Georgetown,MY,5.4112,100.3354,87.73,82,20,3.44
164,Sandovo,RU,58.4602,36.4128,29.84,88,18,4.61
165,Zemio,CF,5.0314,25.1361,69.19,98,100,1.59
166,Huntington,US,38.4193,-82.4452,76.1,82,20,4.61
167,Kruisfontein,ZA,-34.0033,24.7314,51.89,92,100,6.13
168,Mugur-Aksy,RU,50.35,90.5,50.02,66,100,10.38
169,East London,ZA,-33.0153,27.9116,63.55,86,100,9.4
170,Santa Rosa,PH,14.3122,121.1114,87.1,78,99,3.89
171,Fuerte Olimpo,PY,-21.0415,-57.8738,52.03,68,0,3.49
172,Charters Towers,AU,-20.1,146.2667,77.86,58,0,6.08
173,Henties Bay,NA,-22.116,14.2845,57.65,86,0,13.49
174,Castro,BR,-24.7911,-50.0119,42.08,85,8,2.75
175,Ndele,CF,8.4109,20.6473,74.86,77,84,5.64
176,Fortuna,US,40.5982,-124.1573,55.85,70,20,14.97
177,Lucapa,AO,-8.4192,20.7447,65.82,54,53,3.91
178,Meghri,AM,38.9029,46.2446,60.8,76,12,2.98
179,Chokurdakh,RU,70.6333,147.9167,33.03,100,92,7.56
180,San Quintin,MX,30.4833,-115.95,61.02,79,8,5.95
181,Cape Town,ZA,-33.9258,18.4232,55.11,75,75,3.44
182,Caravelas,BR,-17.7125,-39.2481,66.99,52,79,5.46
183,Vaini,TO,-21.2,-175.2,82.56,69,40,10.36
184,Abong Mbang,CM,3.9833,13.1833,67.5,99,100,2.28
185,Hervey Bay,AU,-25.2986,152.8535,71.02,74,100,4.0
186,Clyde River,CA,70.4692,-68.5914,23.23,100,100,14.97
187,Lamu,KE,-2.2717,40.902,79.02,81,16,12.77
188,Mikhaylovka,RU,50.06,43.2379,50.7,69,100,4.59
189,Cabra,ES,37.4725,-4.4421,71.65,35,100,2.59
190,Springdale,US,36.1867,-94.1288,80.11,70,0,11.01
191,Bima,ID,-8.4667,118.7167,86.23,67,54,4.81
192,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.77,90,41,8.48
193,Liverpool,GB,53.4106,-2.9779,53.82,77,0,5.75
194,Ketchikan,US,55.3422,-131.6461,57.67,62,0,9.22
195,Samarai,PG,-10.6167,150.6667,82.89,72,14,7.94
196,Hermanus,ZA,-34.4187,19.2345,55.69,59,22,1.39
197,Kununurra,AU,-15.7667,128.7333,87.78,33,0,14.97
198,Brownfield,US,33.1812,-102.2744,91.94,7,0,11.41
199,Lavrentiya,RU,65.5833,-171.0,33.84,99,91,4.88
200,Dicabisagan,PH,17.0818,122.4157,86.79,64,75,10.27
201,Lima,PE,-12.0432,-77.0282,66.9,77,0,12.66
202,Nioro,GM,13.35,-15.75,76.93,66,41,8.34
203,Berezovka,BY,53.7214,25.4993,50.04,79,100,3.44
204,Kuli,RU,42.0185,47.2434,43.43,87,96,7.7
205,Mbandaka,CD,0.0487,18.2603,70.86,98,100,0.29
206,Portland,US,45.5234,-122.6762,57.63,77,75,8.05
207,Seoul,KR,37.5683,126.9778,71.2,48,0,8.05
208,Copiapo,CL,-27.3667,-70.3333,51.49,73,0,1.3
209,Itaituba,BR,-4.2761,-55.9836,71.11,84,100,0.49
210,Victoria,HK,22.2855,114.1577,83.97,77,87,3.0
211,Chico,US,39.7285,-121.8375,87.69,10,75,17.27
212,Ban Nahin,LA,18.2418,104.2122,75.69,97,100,1.54
213,Mao,ES,39.8885,4.2658,66.76,88,0,9.22
214,Hasaki,JP,35.7333,140.8333,77.29,73,100,16.17
215,Khorramabad,IR,33.4878,48.3558,55.02,47,0,9.22
216,Matipo,BR,-20.2839,-42.3411,50.16,80,28,3.33
217,Salinopolis,BR,-0.6136,-47.3561,76.51,89,100,6.15
218,Galle,LK,6.0367,80.217,80.69,84,82,10.31
219,Parrita,CR,9.5201,-84.3225,76.33,95,100,2.89
220,Cairns,AU,-16.9167,145.7667,84.11,76,40,10.36
221,Cherskiy,RU,68.75,161.3,56.97,40,51,13.13
222,Ossora,RU,59.2353,163.0719,38.75,95,100,6.26
223,Port-Cartier,CA,50.0334,-66.8654,48.74,75,100,3.13
224,Sawakin,SD,19.1059,37.3321,81.07,71,0,5.32
225,Jinotega,NI,13.0917,-86.0018,67.93,91,100,3.85
226,Ugoofaaru,MV,5.6667,73.0,83.34,78,100,16.73
227,Buchanan,LR,5.8808,-10.0467,77.77,89,100,5.37
228,Gigmoto,PH,13.7796,124.39,86.29,70,42,9.01
229,Westport,US,41.1415,-73.3579,58.62,91,75,3.44
230,Annau,TM,37.8876,58.516,63.9,68,0,4.61
231,Khani,GE,41.9563,42.9566,40.57,98,100,3.38
232,Alofi,NU,-19.0595,-169.9187,78.69,94,75,11.5
233,Dunedin,NZ,-45.8742,170.5036,47.8,60,33,15.01
234,Grand Gaube,MU,-20.0064,57.6608,73.8,85,59,1.99
235,San Patricio,US,28.017,-97.5169,81.54,84,0,15.97
236,Itacare,BR,-14.2775,-38.9967,72.45,64,100,5.53
237,Baker City,US,44.7749,-117.8344,46.11,49,0,18.41
238,Isabela,PH,6.7085,121.9711,86.05,70,16,2.37
239,Prado,BR,-17.3411,-39.2208,62.06,53,99,7.49
240,Letlhakane,BW,-21.4167,25.5833,57.78,61,3,8.1
241,Umm Kaddadah,SD,13.6017,26.6876,83.62,12,8,22.19
242,Mogoytuy,RU,51.2833,114.9167,71.33,27,4,12.95
243,Mahebourg,MU,-20.4081,57.7,73.69,88,75,10.36
244,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.68,88,76,9.42
245,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,87,75,8.95
246,Inta,RU,66.0317,60.1659,33.39,69,100,13.96
247,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,63.88,33,85,4.52
248,Qom,IR,34.6401,50.8764,73.35,20,15,7.47
249,Formosa Do Rio Preto,BR,-11.0483,-45.1931,68.38,62,54,4.21
250,Mosquera,CO,4.7059,-74.2302,55.49,94,75,2.3
251,Penzance,GB,50.1186,-5.5371,55.09,89,100,10.31
252,Kulhudhuffushi,MV,6.6221,73.07,83.37,78,88,16.51
253,Monrovia,LR,6.3005,-10.7969,78.91,86,95,6.26
254,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,93,0,6.91
255,Marsh Harbour,BS,26.5412,-77.0636,79.75,80,23,8.79
256,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,75,10.36
257,Klaksvik,FO,62.2266,-6.589,48.99,95,100,22.21
258,Kargasok,RU,59.0556,80.8572,54.25,66,78,17.83
259,Goderich,CA,43.7501,-81.7165,68.32,64,61,11.5
